lucode,LULC_desc,C_above,C_below,C_soil,C_dead
0,NoData,0,0,0,0
1,PalmSwamp,149,0,0,0
2,BroadleafForest,149,0,0,0
3,BroadleafForest,149,0,0,0
4,BroadleafForest,149,0,0,0
5,BroadleafForest,149,0,0,0
6,BroadleafForest,149,0,0,0
7,BroadleafForest,149,0,0,0
8,BroadleafForest,149,0,0,0
9,BroadleafForest,149,0,0,0
10,BroadleafForest,149,0,0,0
11,PalmSwamp,149,0,0,0
12,BroadleafForest,149,0,0,0
13,BroadleafForest,149,0,0,0
14,PalmSwamp,149,0,0,0
15,BroadleafForest,149,0,0,0
16,TransitionalWoodlandScrub,82,0,0,0
17,TransitionalWoodlandScrub,82,0,0,0
18,TransitionalWoodlandScrub,82,0,0,0
19,TransitionalWoodlandScrub,82,0,0,0
20,TransitionalWoodlandScrub,82,0,0,0
21,TransitionalWoodlandScrub,82,0,0,0
22,TransitionalWoodlandScrub,82,0,0,0
23,InlandForestedWetland,115,0,0,0
24,InlandForestedWetland,115,0,0,0
25,Shrubland,52,0,0,0
26,Shrubland,52,0,0,0
27,Shrubland,52,0,0,0
28,Shrubland,52,0,0,0
29,Shrubland,52,0,0,0
30,Shrubland,52,0,0,0
31,Shrubland,52,0,0,0
32,InlandMarsh,52,0,0,0
33,InlandMarsh,52,0,0,0
34,Grassland,4.5,0,0,0
35,Grassland,4.5,0,0,0
36,Grassland,4.5,0,0,0
37,InlandMarsh,52,0,0,0
38,Grassland,4.5,0,0,0
39,Grassland,4.5,0,0,0
40,Grassland,4.5,0,0,0
41,Grassland,4.5,0,0,0
42,SparseVegetation,2.5,0,0,0
43,SparseVegetation,2.5,0,0,0
44,SparseVegetation,2.5,0,0,0
45,SparseVegetation,2.5,0,0,0
46,AgriculturalVegetation,5,0,0,0
47,ArtificialSurface,0,0,0,0
48,BeachDuneAndSand,1,0,0,0
49,BareArea,1,0,0,0
50,BareArea,1,0,0,0
51,BareArea,1,0,0,0
52,BareRock,1,0,0,0
53,WaterBody,0,0,0,0
54,GlacierAndPerpetualSnow,0,0,0,0
56,PermanentCropland,5,0,0,0
57,AgriculturalVegetation,5,0,0,0
58,ForestPlantation ,79,0,0,0
255,NoData,0,0,0,0
